종명,접수일시,도로유형,도로명
고라니,2021-03-29,국도,6
고라니,2021-03-29,국도,23
족제비,2021-03-30,국도,1
담비,2021-03-30,국도,1
꿩,2021-03-30,국도,1
고양이,2021-03-30,국도,32
미동정(포유류),2021-03-30,국도,43
고라니,2021-03-30,국도,1
개,2021-03-30,국도,1
고양이,2021-03-30,국도,43
고양이,2021-03-31,국도,25
고양이,2021-03-31,국도,32
고라니,2021-03-31,국도,22
너구리,2021-03-31,국도,26
고라니,2021-03-31,국도,4
고라니,2021-03-31,국도,24
고라니,2021-03-31,국도,4
고라니,2021-03-31,국도,4
미동정(포유류),2021-03-31,국도,28
너구리,2021-04-01,국도,1
고양이,2021-04-01,국도,38
고양이,2021-04-01,국도,38
미동정(포유류),2021-04-01,국도,4
고라니,2021-04-01,국도,25
고라니,2021-04-01,국도,3
고양이,2021-04-01,국도,22
고라니,2021-04-01,국도,24
너구리,2021-04-02,국도,38
족제비,2021-04-02,국도,25
개,2021-04-02,국도,22
고양이,2021-04-02,국도,4
고양이,2021-04-02,국도,42
고라니,2021-04-02,국도,28
고라니,2021-04-02,국도,36
고양이,2021-04-02,국도,1
미동정(포유류),2021-04-02,국도,1
개,2021-04-04,국도,7
돼지,2021-04-04,국도,38
미동정(포유류),2021-04-05,국도,19
고라니,2021-04-05,국도,23
너구리,2021-04-05,국도,5
너구리,2021-04-05,국도,5
고양이,2021-04-05,국도,1
고양이,2021-04-05,국도,30
고라니,2021-04-05,국도,21
미동정(포유류),2021-04-05,국도,22
고양이,2021-04-05,국도,13
고양이,2021-04-05,국도,1
고양이,2021-04-06,국도,35
고라니,2021-04-06,국도,4
고양이,2021-04-06,국도,30
미동정(포유류),2021-04-06,국도,42
고라니,2021-04-06,국도,22
고라니,2021-04-06,국도,30
고양이,2021-04-06,국도,30
미동정(포유류),2021-04-07,국도,23
고라니,2021-04-07,국도,1
미동정(포유류),2021-04-07,국도,3
고라니,2021-04-07,국도,45
미동정(포유류),2021-04-07,국도,22
고양이,2021-04-07,국도,28
고양이,2021-04-07,국도,5
고라니,2021-04-08,국도,4
고라니,2021-04-08,국도,4
미동정(포유류),2021-04-08,국도,4
고양이,2021-04-08,국도,30
고양이,2021-04-08,국도,32
고라니,2021-04-08,국도,32
고양이,2021-04-08,국도,3
개,2021-04-09,국도,7
너구리,2021-04-09,국도,4
물수리,2021-04-09,국도,19
꿩,2021-04-09,국도,24
고라니,2021-04-09,국도,1
고라니,2021-04-09,국도,42
고양이,2021-04-09,국도,42
미동정(포유류),2021-04-09,국도,23
고양이,2021-04-09,국도,30
고라니,2021-04-09,국도,3
고양이,2021-04-09,국도,20
고라니,2021-04-09,국도,39
고라니,2021-04-10,국도,23
고라니,2021-04-10,국도,23
개,2021-04-12,국도,25
고라니,2021-04-12,국도,30
고라니,2021-04-12,국도,4
고라니,2021-04-12,국도,4
