종명,접수일시,도로유형,도로명
고라니,2019-12-17,국도,일반국도34호선
고라니,2019-12-17,국도,일반국도28호선
고라니,2019-12-17,국도,일반국도36호선
고양이,2019-12-17,국도,일반국도4호선
미동정(조류),2019-12-17,지방도,지방도1041호선
고라니,2019-12-17,국도,대청로
개,2019-12-17,지방도,일반국도20호선
고라니,2019-12-17,국도,경북대로
고라니,2019-12-16,시도,민락로
고라니,2019-12-16,고속국도(재정),광주대구고속도로
고라니,2019-12-16,국도,43
고라니,2019-12-16,고속국도(재정),호남고속도로지선
개,2019-12-16,국도,일반국도32호선
개,2019-12-16,국도,서해로
고라니,2019-12-16,국도,일반국도3호선
너구리,2019-12-16,국도,일반국도34호선
고라니,2019-12-16,국도,6
고양이,2019-12-16,국도,예영로
고라니,2019-12-16,지방도,지방도510호선
개,2019-12-16,국도,37
고라니,2019-12-16,국도,일반국도22호선
삵,2019-12-16,국도,일반국도37호선
고라니,2019-12-16,고속국도(재정),중부고속도로
고라니,2019-12-16,국도,일반국도17호선
너구리,2019-12-16,국도,45
고라니,2019-12-16,국도,일반국도17호선
개,2019-12-16,국도,일반국도13호선
고양이,2019-12-16,국도,46
고라니,2019-12-16,국도,일반국도30호선
너구리,2019-12-16,국도,46
고라니,2019-12-16,국도,일반국도22호선
고라니,2019-12-16,국도,일반국도13호선
고라니,2019-12-16,국도,정읍대로
삵,2019-12-16,국도,정읍대로
고양이,2019-12-16,국도,일반국도32호선
고라니,2019-12-16,국도,일반국도17호선
고라니,2019-12-16,지방도,지방도622호선
너구리,2019-12-16,국도,일반국도13호선
삵,2019-12-16,국도,일반국도13호선
고라니,2019-12-16,국도,일반국도13호선
고라니,2019-12-16,국도,일반국도13호선
고라니,2019-12-16,국도,하공로
고라니,2019-12-16,국도,일반국도38호선
고라니,2019-12-16,국도,3
너구리,2019-12-16,국도,3
삵,2019-12-16,국도,강원남로
고라니,2019-12-16,국도,일반국도38호선
고양이,2019-12-16,국도,상정대로
고라니,2019-12-16,지방도,지방도633호선
개,2019-12-16,지방도,지방도633호선
고양이,2019-12-16,국도,일반국도23호선
고양이,2019-12-16,국도,일반국도23호선
고라니,2019-12-16,국도,북부산업로
고라니,2019-12-16,국도,일반국도38호선
고라니,2019-12-16,국도,일반국도17호선
너구리,2019-12-16,국도,6
고양이,2019-12-16,국도,일반국도25호선
고라니,2019-12-16,국도,일반국도36호선
너구리,2019-12-16,시도,시청2로
고양이,2019-12-16,국도,구성지례로
고라니,2019-12-16,국도,일반국도14호선
고라니,2019-12-16,국도,국도우회로
고라니,2019-12-16,국도,일반국도23호선
고라니,2019-12-16,국도,일반국도22호선
고양이,2019-12-16,지방도,순성로
꿩,2019-12-16,국도,45
고라니,2019-12-16,국도,일반국도22호선
고양이,2019-12-16,국도,일반국도14호선
고라니,2019-12-16,국도,일반국도3호선
삵,2019-12-16,국도,일반국도38호선
삵,2019-12-16,국도,예영로
고라니,2019-12-16,국도,일반국도1호선
고라니,2019-12-16,국도,일반국도3호선
고라니,2019-12-16,고속국도(재정),호남고속도로
고라니,2019-12-16,고속국도(재정),호남고속도로
고라니,2019-12-16,국도,예영로
고라니,2019-12-16,국도,중부로
멧돼지,2019-12-16,국도,경북대로
멧돼지,2019-12-16,국도,일반국도5호선
너구리,2019-12-16,국도,중부로
삵,2019-12-16,국도,중부로
고양이,2019-12-16,국도,충민로
멧돼지,2019-12-16,국도,일반국도19호선
고라니,2019-12-16,시도,송산로
고라니,2019-12-15,고속국도(재정),광주대구고속도로
고라니,2019-12-15,국도,일반국도45호선
고라니,2019-12-15,시도,-
고양이,2019-12-15,국도,일반국도46호선
고양이,2019-12-15,국도,일반국도45호선
고라니,2019-12-15,국도,일반국도4호선
고라니,2019-12-15,국도,영동로
너구리,2019-12-15,국도,일반국도34호선
고라니,2019-12-15,국도,일반국도3호선
고양이,2019-12-15,시도,역천로
고라니,2019-12-15,국도,일반국도45호선
너구리,2019-12-15,국도,일반국도45호선
너구리,2019-12-15,지방도,남부로
개,2019-12-15,국도,일반국도43호선
고라니,2019-12-15,국도,일반국도6호선
고라니,2019-12-15,고속국도(재정),중앙고속도로
멧돼지,2019-12-15,고속국도(재정),중앙고속도로
고라니,2019-12-15,국도,일반국도6호선
고라니,2019-12-15,국도,강원남로
고라니,2019-12-14,국도,일반국도3호선
고라니,2019-12-14,고속국도(재정),당진영덕고속도로
고양이,2019-12-14,국도,6
노루,2019-12-14,지방도,병악로
개,2019-12-14,국도,일반국도3호선
고라니,2019-12-14,국도,일반국도32호선
고라니,2019-12-14,국도,6
고라니,2019-12-14,국도,일반국도6호선
개,2019-12-14,국도,6
너구리,2019-12-14,국도,일반국도6호선
고라니,2019-12-14,국도,죽령로
고라니,2019-12-14,국도,6
고라니,2019-12-14,고속국도(재정),호남고속도로
개,2019-12-13,시도,남부로
노루,2019-12-13,지방도,지방도1112호선
고라니,2019-12-13,국도,일반국도38호선
너구리,2019-12-13,국도,일반국도4호선
고라니,2019-12-13,국도,일반국도36호선
고라니,2019-12-13,고속국도(재정),천안논산고속도로
너구리,2019-12-13,국도,일반국도36호선
고라니,2019-12-13,국도,일반국도45호선
고양이,2019-12-13,국도,국가지원지방도70호선
고라니,2019-12-13,국도,일반국도36호선
고라니,2019-12-13,국도,일반국도35호선
고라니,2019-12-13,국도,국도34호선
고라니,2019-12-13,국도,국도34호선
